incident_id,created_at,resolved_at,status,severity,category,service,assigned_team,region,business_unit,root_cause,alerts_count,backlog_at_creation,repeat_incident,affected_users,assignment_delay_hours,num_comments,sla_hours,current_age_hours,resolution_hours,breached_sla,created_hour,is_weekend,month,summary
INC000001,2025-02-09 02:12:21,2025-02-11 12:17:56.468097246,Closed,P4,Cloud,Kubernetes,Platform Engineering,North America,Support,Node pressure,3,19,0,12,6.17,3,72,58.09,58.09,0,2,1,2025-02,Cloud issue affecting Kubernetes in North America; priority P4; root cause: Node pressure; team Platform Engineering
INC000012,2025-09-20 04:03:32,2025-09-20 15:54:40.467680422,Closed,P2,Cloud,Azure,Platform Engineering,North America,Finance,Storage latency,1,18,0,61,0.6,6,8,11.85,11.85,1,4,1,2025-09,Cloud issue affecting Azure in North America; priority P2; root cause: Storage latency; team Platform Engineering
INC000013,2026-02-10 12:11:32,2026-02-10 14:54:42.916744889,Closed,P1,Network,VPN,NetOps,LATAM,Support,Firewall rule error,10,42,0,65,0.28,10,4,2.72,2.72,0,12,0,2026-02,Network issue affecting VPN in LATAM; priority P1; root cause: Firewall rule error; team NetOps
INC000014,2025-11-19 18:45:42,,Open,P3,Cloud,AWS,CloudOps,LATAM,Engineering,Misconfigured deployment,5,36,0,18,1.17,6,24,2765.24,,1,18,0,2025-11,Cloud issue affecting AWS in LATAM; priority P3; root cause: Misconfigured deployment; team CloudOps
INC000015,2025-03-16 04:41:08,2025-03-17 20:46:40.628706407,Closed,P4,Security,Vulnerability Mgmt,IAM Operations,LATAM,Engineering,Policy misconfiguration,0,11,0,9,8.89,5,72,40.09,40.09,0,4,1,2025-03,Security issue affecting Vulnerability Mgmt in LATAM; priority P4; root cause: Policy misconfiguration; team IAM Operations
INC000016,2025-08-02 19:53:21,,Open,P3,Database,MySQL,SRE,North America,Engineering,Connection pool exhaustion,3,22,0,22,2.7,9,24,5380.11,,1,19,1,2025-08,Database issue affecting MySQL in North America; priority P3; root cause: Connection pool exhaustion; team SRE
INC000017,2025-07-29 10:32:42,,Open,P3,Application,Billing,Middleware Ops,APAC,Finance,Cache inconsistency,2,28,0,20,0.53,8,24,5485.45,,1,10,0,2025-07,Application issue affecting Billing in APAC; priority P3; root cause: Cache inconsistency; team Middleware Ops
INC000018,2025-12-21 01:22:21,,Open,P1,Access,SSO,IAM Operations,North America,Operations,Permission mismatch,5,35,0,81,0.41,17,4,2014.63,,1,1,1,2025-12,Access issue affecting SSO in North America; priority P1; root cause: Permission mismatch; team IAM Operations
INC000019,2025-02-07 16:17:21,,Open,P2,Network,Firewall,Infra Operations,North America,Engineering,Routing drift,5,26,0,59,0.34,11,8,9607.71,,1,16,0,2025-02,Network issue affecting Firewall in North America; priority P2; root cause: Routing drift; team Infra Operations
INC000020,2025-02-26 15:35:03,2025-02-27 07:59:39.006185029,Closed,P3,Network,SD-WAN,Infra Operations,Europe,HR,Link instability,4,7,0,14,1.54,7,24,16.41,16.41,0,15,0,2025-02,Network issue affecting SD-WAN in Europe; priority P3; root cause: Link instability; team Infra Operations
INC000021,2026-02-26 06:08:23,2026-02-28 23:01:02.798683565,Closed,P4,Application,Billing,Middleware Ops,Europe,Support,Release defect,2,19,0,11,7.66,1,72,64.88,64.88,0,6,0,2026-02,Application issue affecting Billing in Europe; priority P4; root cause: Release defect; team Middleware Ops
INC000022,2026-01-31 10:06:41,2026-02-01 10:48:16.803105897,Closed,P3,Application,ERP,ERP Support,North America,Support,API timeout,1,0,0,63,2.19,5,24,24.69,24.69,1,10,1,2026-01,Application issue affecting ERP in North America; priority P3; root cause: API timeout; team ERP Support
INC000023,2026-02-08 02:53:08,,Open,P4,Database,MongoDB,DBA,North America,Support,Slow queries,1,42,0,9,9.91,1,72,837.11,,1,2,1,2026-02,Database issue affecting MongoDB in North America; priority P4; root cause: Slow queries; team DBA
INC000024,2026-03-13 01:51:32,2026-03-13 10:18:31.135572289,Closed,P2,Database,MySQL,DBA,APAC,Finance,Slow queries,4,13,0,51,0.68,11,8,8.45,8.45,1,1,0,2026-03,Database issue affecting MySQL in APAC; priority P2; root cause: Slow queries; team DBA
INC000025,2025-04-24 12:21:49,2025-04-25 03:36:09.743103794,Closed,P3,Access,SSO,EUC Support,Europe,Sales,SSO token issue,0,26,0,20,0.49,10,24,15.24,15.24,0,12,0,2025-04,Access issue affecting SSO in Europe; priority P3; root cause: SSO token issue; team EUC Support
INC000026,2025-12-26 19:17:36,2025-12-27 04:18:51.224681195,Closed,P2,Application,Billing,Middleware Ops,North America,Sales,Dependency failure,7,21,0,48,0.82,3,8,9.02,9.02,1,19,0,2025-12,Application issue affecting Billing in North America; priority P2; root cause: Dependency failure; team Middleware Ops
INC000027,2025-06-22 07:48:19,2025-06-23 01:28:17.990823615,Closed,P3,Network,Firewall,Infra Operations,APAC,HR,Firewall rule error,0,26,0,23,1.32,7,24,17.67,17.67,0,7,1,2025-06,Network issue affecting Firewall in APAC; priority P3; root cause: Firewall rule error; team Infra Operations
INC000028,2025-10-23 15:44:14,,Open,P4,Application,CRM,Middleware Ops,North America,Engineering,API timeout,1,30,0,4,1.67,3,72,3416.26,,1,15,0,2025-10,Application issue affecting CRM in North America; priority P4; root cause: API timeout; team Middleware Ops
INC000029,2026-02-26 20:34:19,,Open,P4,Cloud,VMware,Platform Engineering,APAC,Sales,Misconfigured deployment,3,11,0,6,0.0,3,72,387.43,,1,20,0,2026-02,Cloud issue affecting VMware in APAC; priority P4; root cause: Misconfigured deployment; team Platform Engineering
INC000030,2025-04-20 18:19:33,2025-04-21 18:42:43.739441222,Closed,P3,Application,Middleware,Middleware Ops,LATAM,Sales,API timeout,4,31,1,14,1.42,4,24,24.39,24.39,1,18,1,2025-04,Application issue affecting Middleware in LATAM; priority P3; root cause: API timeout; team Middleware Ops
INC000031,2025-12-13 02:06:46,2025-12-13 23:56:37.686868090,Closed,P3,Network,LAN,Infra Operations,North America,Finance,Link instability,2,25,0,18,2.43,1,24,21.83,21.83,0,2,1,2025-12,Network issue affecting LAN in North America; priority P3; root cause: Link instability; team Infra Operations
INC000032,2025-07-24 15:31:15,,Open,P2,Cloud,Kubernetes,CloudOps,Europe,HR,Node pressure,4,12,0,37,0.74,3,8,5600.48,,1,15,0,2025-07,Cloud issue affecting Kubernetes in Europe; priority P2; root cause: Node pressure; team CloudOps
INC000033,2025-04-12 01:16:06,2025-04-15 06:25:17.693096295,Closed,P4,Application,Billing,Middleware Ops,Europe,Finance,Dependency failure,0,20,0,8,5.25,5,72,77.15,77.15,1,1,1,2025-04,Application issue affecting Billing in Europe; priority P4; root cause: Dependency failure; team Middleware Ops
INC000034,2025-12-27 14:16:35,2025-12-27 18:18:42.826593191,Closed,P1,Network,SD-WAN,Infra Operations,North America,Sales,Routing drift,8,31,0,37,0.24,14,4,4.04,4.04,1,14,1,2025-12,Network issue affecting SD-WAN in North America; priority P1; root cause: Routing drift; team Infra Operations
INC000035,2025-11-13 01:35:14,2025-11-13 22:18:55.573948676,Closed,P3,Security,IAM,SecOps,APAC,HR,Expired certificate,0,37,0,30,1.84,9,24,20.73,20.73,0,1,0,2025-11,Security issue affecting IAM in APAC; priority P3; root cause: Expired certificate; team SecOps
INC000036,2025-12-05 05:32:41,,Open,P2,Cloud,Kubernetes,CloudOps,LATAM,Engineering,Misconfigured deployment,4,6,0,37,0.56,10,8,2394.46,,1,5,0,2025-12,Cloud issue affecting Kubernetes in LATAM; priority P2; root cause: Misconfigured deployment; team CloudOps
INC000037,2026-02-12 21:29:40,2026-02-13 22:08:45.997420670,Closed,P3,Cloud,Kubernetes,Platform Engineering,Europe,HR,Storage latency,4,28,0,18,2.1,4,24,24.65,24.65,1,21,0,2026-02,Cloud issue affecting Kubernetes in Europe; priority P3; root cause: Storage latency; team Platform Engineering
INC000038,2025-07-29 17:50:47,2025-07-29 21:38:00.016642280,Closed,P1,Database,MySQL,Platform Engineering,Europe,HR,Replication lag,6,23,0,120,0.08,21,4,3.79,3.79,0,17,0,2025-07,Database issue affecting MySQL in Europe; priority P1; root cause: Replication lag; team Platform Engineering
INC000039,2025-11-22 10:01:06,2025-11-22 18:43:02.106036601,Closed,P2,Database,MySQL,Platform Engineering,North America,Finance,Slow queries,5,29,0,83,0.33,6,8,8.7,8.7,1,10,1,2025-11,Database issue affecting MySQL in North America; priority P2; root cause: Slow queries; team Platform Engineering
INC000040,2025-11-24 05:15:23,2025-11-24 15:56:16.043100975,Closed,P2,Database,Oracle,SRE,North America,HR,Connection pool exhaustion,8,28,0,67,1.13,4,8,10.68,10.68,1,5,0,2025-11,Database issue affecting Oracle in North America; priority P2; root cause: Connection pool exhaustion; team SRE
INC000041,2026-03-02 06:35:02,2026-03-04 16:09:11.017055328,Closed,P4,Security,SIEM,IAM Operations,APAC,HR,Policy misconfiguration,1,28,0,4,4.22,5,72,57.57,57.57,0,6,0,2026-03,Security issue affecting SIEM in APAC; priority P4; root cause: Policy misconfiguration; team IAM Operations
INC000042,2025-05-03 22:05:18,2025-05-04 07:39:50.584848026,Closed,P2,Network,LAN,NOC,North America,Sales,Firewall rule error,6,9,0,46,0.01,10,8,9.58,9.58,1,22,1,2025-05,Network issue affecting LAN in North America; priority P2; root cause: Firewall rule error; team NOC
INC000043,2025-03-07 11:42:30,2025-03-08 15:35:49.860643942,Closed,P3,Database,MySQL,SRE,APAC,Support,Connection pool exhaustion,2,24,1,25,1.46,2,24,27.89,27.89,1,11,0,2025-03,Database issue affecting MySQL in APAC; priority P3; root cause: Connection pool exhaustion; team SRE
INC000044,2025-03-17 09:47:34,2025-03-18 03:12:13.293452555,Closed,P3,Cloud,Azure,SRE,APAC,Finance,Node pressure,2,2,0,5,1.83,5,24,17.41,17.41,0,9,0,2025-03,Cloud issue affecting Azure in APAC; priority P3; root cause: Node pressure; team SRE
INC000045,2026-01-07 02:56:23,2026-01-08 09:31:42.503286566,Closed,P3,Cloud,Kubernetes,SRE,APAC,Operations,Misconfigured deployment,6,25,0,64,0.56,5,24,30.59,30.59,1,2,0,2026-01,Cloud issue affecting Kubernetes in APAC; priority P3; root cause: Misconfigured deployment; team SRE
INC000046,2025-01-18 03:45:00,2025-01-18 10:55:31.447662519,Closed,P2,Application,CRM,App Support,APAC,Support,Release defect,3,30,0,157,0.34,7,8,7.18,7.18,0,3,1,2025-01,Application issue affecting CRM in APAC; priority P2; root cause: Release defect; team App Support
INC000047,2025-05-10 05:52:14,2025-05-13 02:32:40.859129463,Closed,P4,Security,Endpoint,SecOps,Europe,Support,Endpoint isolation event,0,28,0,15,8.83,1,72,68.67,68.67,0,5,1,2025-05,Security issue affecting Endpoint in Europe; priority P4; root cause: Endpoint isolation event; team SecOps
INC000048,2026-02-15 04:20:13,2026-02-18 01:58:26.468525096,Closed,P4,Cloud,AWS,CloudOps,Europe,Engineering,Misconfigured deployment,1,28,0,6,6.88,1,72,69.64,69.64,0,4,1,2026-02,Cloud issue affecting AWS in Europe; priority P4; root cause: Misconfigured deployment; team CloudOps
INC000049,2025-11-24 01:39:08,2025-11-26 04:51:30.896829231,Closed,P4,Network,Firewall,NetOps,APAC,Finance,Capacity saturation,2,26,0,8,6.09,4,72,51.21,51.21,0,1,0,2025-11,Network issue affecting Firewall in APAC; priority P4; root cause: Capacity saturation; team NetOps
INC000050,2025-03-13 01:55:53,2025-03-15 12:27:25.834474455,Closed,P4,Application,ERP,App Support,North America,Sales,Dependency failure,1,25,0,17,0.0,1,72,58.53,58.53,0,1,0,2025-03,Application issue affecting ERP in North America; priority P4; root cause: Dependency failure; team App Support
INC000051,2025-06-18 04:08:05,2025-06-18 08:16:35.803616838,Closed,P1,Application,Middleware,Middleware Ops,Europe,Finance,Cache inconsistency,7,28,1,114,0.13,6,4,4.14,4.14,1,4,0,2025-06,Application issue affecting Middleware in Europe; priority P1; root cause: Cache inconsistency; team Middleware Ops
INC000052,2025-02-11 15:12:43,,Open,P1,Database,Oracle,SRE,North America,Support,Replication lag,4,14,0,91,0.23,18,4,9512.79,,1,15,0,2025-02,Database issue affecting Oracle in North America; priority P1; root cause: Replication lag; team SRE
INC000053,2025-07-03 09:17:18,2025-07-03 16:43:29.515953433,Closed,P2,Access,SSO,IAM Operations,North America,Support,SSO token issue,2,37,0,71,0.69,9,8,7.44,7.44,0,9,0,2025-07,Access issue affecting SSO in North America; priority P2; root cause: SSO token issue; team IAM Operations
INC000054,2025-04-05 23:37:04,,Open,P3,Network,SD-WAN,Infra Operations,North America,Support,Routing drift,2,19,0,16,0.4,6,24,8232.38,,1,23,1,2025-04,Network issue affecting SD-WAN in North America; priority P3; root cause: Routing drift; team Infra Operations
INC000055,2026-01-14 02:34:28,2026-01-14 11:21:42.217950484,Closed,P2,Database,PostgreSQL,SRE,APAC,Engineering,Connection pool exhaustion,5,31,0,37,0.34,7,8,8.79,8.79,1,2,0,2026-01,Database issue affecting PostgreSQL in APAC; priority P2; root cause: Connection pool exhaustion; team SRE
INC000056,2025-01-26 12:32:29,2025-01-27 10:20:45.773580807,Closed,P3,Network,LAN,NOC,Europe,Engineering,Link instability,6,2,0,26,1.57,5,24,21.8,21.8,0,12,1,2025-01,Network issue affecting LAN in Europe; priority P3; root cause: Link instability; team NOC
INC000057,2025-01-29 22:26:25,2025-02-02 01:09:44.607065837,Closed,P4,Database,PostgreSQL,Platform Engineering,North America,Sales,Lock contention,1,12,1,13,6.73,1,72,74.72,74.72,1,22,0,2025-01,Database issue affecting PostgreSQL in North America; priority P4; root cause: Lock contention; team Platform Engineering
INC000058,2025-04-09 09:03:54,2025-04-10 08:10:49.192253929,Closed,P3,Access,Email Access,IAM Operations,APAC,Finance,Mailbox sync error,2,28,0,10,3.88,4,24,23.12,23.12,0,9,0,2025-04,Access issue affecting Email Access in APAC; priority P3; root cause: Mailbox sync error; team IAM Operations
INC000059,2026-02-15 09:11:18,2026-02-16 06:38:21.418634966,Closed,P3,Database,PostgreSQL,DBA,Europe,Support,Connection pool exhaustion,1,10,0,14,2.14,8,24,21.45,21.45,0,9,1,2026-02,Database issue affecting PostgreSQL in Europe; priority P3; root cause: Connection pool exhaustion; team DBA
INC000060,2025-07-11 19:40:55,2025-07-12 08:00:58.482692998,Closed,P3,Database,MySQL,Platform Engineering,North America,Sales,Replication lag,1,13,0,11,1.2,2,24,12.33,12.33,0,19,0,2025-07,Database issue affecting MySQL in North America; priority P3; root cause: Replication lag; team Platform Engineering
INC000061,2026-01-17 13:16:27,2026-01-18 01:04:41.570746139,Closed,P2,Cloud,Kubernetes,Platform Engineering,North America,Finance,Node pressure,6,50,0,70,1.03,7,8,11.8,11.8,1,13,1,2026-01,Cloud issue affecting Kubernetes in North America; priority P2; root cause: Node pressure; team Platform Engineering
INC000062,2025-12-03 05:18:13,2025-12-03 12:49:01.104862797,Closed,P2,Network,VPN,Infra Operations,North America,Support,Routing drift,7,31,0,77,0.5,7,8,7.51,7.51,0,5,0,2025-12,Network issue affecting VPN in North America; priority P2; root cause: Routing drift; team Infra Operations
INC000063,2025-05-13 02:57:34,2025-05-15 08:58:02.467744645,Closed,P4,Security,SIEM,SOC,North America,Engineering,Expired certificate,1,24,0,4,2.43,2,72,54.01,54.01,0,2,0,2025-05,Security issue affecting SIEM in North America; priority P4; root cause: Expired certificate; team SOC
INC000064,2025-02-13 16:27:34,2025-02-14 06:47:02.992537427,Closed,P3,Network,Firewall,NetOps,Europe,HR,Firewall rule error,4,14,0,19,1.25,3,24,14.32,14.32,0,16,0,2025-02,Network issue affecting Firewall in Europe; priority P3; root cause: Firewall rule error; team NetOps
INC000065,2025-12-26 09:41:45,2025-12-26 14:17:50.488116057,Closed,P2,Cloud,AWS,Platform Engineering,Europe,Sales,Storage latency,4,33,0,12,0.0,12,8,4.6,4.6,0,9,0,2025-12,Cloud issue affecting AWS in Europe; priority P2; root cause: Storage latency; team Platform Engineering
INC000066,2025-08-30 20:20:03,2025-08-31 06:38:57.377612763,Closed,P2,Application,Middleware,App Support,APAC,Finance,Cache inconsistency,6,21,0,24,0.74,7,8,10.32,10.32,1,20,1,2025-08,Application issue affecting Middleware in APAC; priority P2; root cause: Cache inconsistency; team App Support
INC000067,2025-03-03 08:15:44,2025-03-03 17:23:27.878419707,Closed,P2,Application,Middleware,ERP Support,North America,Sales,Release defect,3,21,0,36,0.04,4,8,9.13,9.13,1,8,0,2025-03,Application issue affecting Middleware in North America; priority P2; root cause: Release defect; team ERP Support
INC000068,2025-06-23 02:42:24,,Open,P2,Application,ERP,Middleware Ops,North America,Operations,API timeout,8,13,0,65,0.99,8,8,6357.29,,1,2,0,2025-06,Application issue affecting ERP in North America; priority P2; root cause: API timeout; team Middleware Ops
INC000069,2025-04-09 09:56:08,2025-04-09 15:42:05.228270042,Closed,P1,Application,Billing,Middleware Ops,North America,Engineering,Dependency failure,6,34,1,47,0.27,20,4,5.77,5.77,1,9,0,2025-04,Application issue affecting Billing in North America; priority P1; root cause: Dependency failure; team Middleware Ops
INC000070,2025-12-26 09:09:30,2025-12-26 15:22:46.402243896,Closed,P2,Application,Billing,App Support,North America,HR,Cache inconsistency,6,24,0,16,0.69,13,8,6.22,6.22,0,9,0,2025-12,Application issue affecting Billing in North America; priority P2; root cause: Cache inconsistency; team App Support
INC000071,2025-05-28 13:02:09,2025-05-30 02:37:10.089046733,Closed,P4,Security,SIEM,IAM Operations,North America,Sales,Suspicious login pattern,2,17,0,6,6.62,2,72,37.58,37.58,0,13,0,2025-05,Security issue affecting SIEM in North America; priority P4; root cause: Suspicious login pattern; team IAM Operations
INC000072,2025-04-05 13:48:05,,Open,P2,Security,SIEM,SOC,North America,Sales,Policy misconfiguration,8,22,0,11,0.77,7,8,8242.2,,1,13,1,2025-04,Security issue affecting SIEM in North America; priority P2; root cause: Policy misconfiguration; team SOC
INC000073,2025-02-28 01:16:56,2025-03-02 10:39:34.700145442,Closed,P4,Application,Billing,Middleware Ops,APAC,Sales,API timeout,1,13,0,13,2.58,2,72,57.38,57.38,0,1,0,2025-02,Application issue affecting Billing in APAC; priority P4; root cause: API timeout; team Middleware Ops
INC000074,2025-10-28 11:45:22,2025-10-30 18:18:17.110602136,Closed,P4,Application,Middleware,App Support,North America,Engineering,API timeout,2,18,0,11,10.27,3,72,54.55,54.55,0,11,0,2025-10,Application issue affecting Middleware in North America; priority P4; root cause: API timeout; team App Support
INC000075,2025-06-29 03:46:38,2025-06-30 08:24:58.093112736,Closed,P3,Network,Firewall,NetOps,APAC,Engineering,Link instability,4,35,0,9,1.99,6,24,28.64,28.64,1,3,1,2025-06,Network issue affecting Firewall in APAC; priority P3; root cause: Link instability; team NetOps
INC000076,2025-04-06 00:13:20,2025-04-06 21:05:58.443217973,Closed,P3,Network,VPN,NetOps,APAC,Operations,Firewall rule error,0,20,0,13,1.4,7,24,20.88,20.88,0,0,1,2025-04,Network issue affecting VPN in APAC; priority P3; root cause: Firewall rule error; team NetOps
INC000077,2025-05-06 15:48:46,2025-05-07 13:23:33.698319889,Closed,P3,Cloud,VMware,CloudOps,LATAM,Finance,Misconfigured deployment,4,30,0,25,2.57,9,24,21.58,21.58,0,15,0,2025-05,Cloud issue affecting VMware in LATAM; priority P3; root cause: Misconfigured deployment; team CloudOps
INC000078,2025-02-25 17:23:57,,Open,P3,Network,VPN,Infra Operations,North America,Finance,Capacity saturation,1,34,0,20,1.53,1,24,9174.6,,1,17,0,2025-02,Network issue affecting VPN in North America; priority P3; root cause: Capacity saturation; team Infra Operations
INC000079,2025-09-23 16:13:31,2025-09-23 19:06:43.410968076,Closed,P1,Database,MySQL,Platform Engineering,APAC,Operations,Replication lag,1,30,0,83,0.38,15,4,2.89,2.89,0,16,0,2025-09,Database issue affecting MySQL in APAC; priority P1; root cause: Replication lag; team Platform Engineering
INC000080,2025-07-29 00:40:20,2025-07-29 04:15:52.033912599,Closed,P1,Database,MySQL,DBA,North America,Sales,Replication lag,4,8,0,125,0.13,14,4,3.59,3.59,0,0,0,2025-07,Database issue affecting MySQL in North America; priority P1; root cause: Replication lag; team DBA
INC000081,2025-03-19 09:07:23,2025-03-19 18:10:41.794133077,Closed,P2,Application,Billing,ERP Support,LATAM,Operations,Dependency failure,2,25,0,45,0.28,9,8,9.06,9.06,1,9,0,2025-03,Application issue affecting Billing in LATAM; priority P2; root cause: Dependency failure; team ERP Support
INC000082,2025-05-17 17:59:47,2025-05-18 13:08:50.841702664,Closed,P3,Access,SSO,EUC Support,North America,Sales,Mailbox sync error,3,40,0,9,1.19,6,24,19.15,19.15,0,17,1,2025-05,Access issue affecting SSO in North America; priority P3; root cause: Mailbox sync error; team EUC Support
INC000083,2025-11-27 03:38:14,,Open,P4,Cloud,VMware,Platform Engineering,Europe,HR,Autoscaling lag,3,29,0,7,5.41,1,72,2588.36,,1,3,0,2025-11,Cloud issue affecting VMware in Europe; priority P4; root cause: Autoscaling lag; team Platform Engineering
INC000084,2025-08-17 13:57:54,2025-08-18 12:39:05.950850330,Closed,P3,Cloud,AWS,CloudOps,North America,HR,Misconfigured deployment,0,26,0,23,1.95,4,24,22.69,22.69,0,13,1,2025-08,Cloud issue affecting AWS in North America; priority P3; root cause: Misconfigured deployment; team CloudOps
INC000085,2025-12-09 21:00:35,2025-12-10 20:56:09.820254649,Closed,P3,Access,VPN Access,IAM Operations,APAC,Support,Provisioning delay,4,21,0,20,0.54,3,24,23.93,23.93,0,21,0,2025-12,Access issue affecting VPN Access in APAC; priority P3; root cause: Provisioning delay; team IAM Operations
INC000086,2025-02-27 08:14:41,2025-02-28 03:54:15.634620974,Closed,P3,Network,VPN,Infra Operations,Europe,Finance,Link instability,4,27,0,8,2.31,6,24,19.66,19.66,0,8,0,2025-02,Network issue affecting VPN in Europe; priority P3; root cause: Link instability; team Infra Operations
INC000087,2025-10-23 13:37:53,2025-10-24 12:05:28.098869538,Closed,P3,Cloud,VMware,Platform Engineering,APAC,Sales,Autoscaling lag,3,25,0,27,0.7,3,24,22.46,22.46,0,13,0,2025-10,Cloud issue affecting VMware in APAC; priority P3; root cause: Autoscaling lag; team Platform Engineering
INC000088,2025-11-09 13:13:20,2025-11-09 21:29:40.210570592,Closed,P2,Access,VPN Access,Service Desk,Europe,Engineering,SSO token issue,2,33,1,30,0.06,4,8,8.27,8.27,1,13,1,2025-11,Access issue affecting VPN Access in Europe; priority P2; root cause: SSO token issue; team Service Desk
INC000089,2025-02-09 07:15:18,2025-02-12 04:17:05.251683864,Closed,P4,Network,SD-WAN,NetOps,LATAM,Sales,Capacity saturation,2,32,0,11,6.33,5,72,69.03,69.03,0,7,1,2025-02,Network issue affecting SD-WAN in LATAM; priority P4; root cause: Capacity saturation; team NetOps
INC000090,2025-01-15 23:17:38,2025-01-16 21:25:21.000970943,Closed,P3,Application,Billing,ERP Support,APAC,Sales,Release defect,1,32,0,20,2.24,6,24,22.13,22.13,0,23,0,2025-01,Application issue affecting Billing in APAC; priority P3; root cause: Release defect; team ERP Support
INC000091,2025-06-04 03:29:15,2025-06-06 21:01:17.650592863,Closed,P4,Security,Endpoint,IAM Operations,North America,Engineering,Expired certificate,3,26,0,9,9.15,2,72,65.53,65.53,0,3,0,2025-06,Security issue affecting Endpoint in North America; priority P4; root cause: Expired certificate; team IAM Operations
INC000092,2025-12-24 08:45:12,2025-12-24 15:35:40.841173127,Closed,P2,Network,VPN,NOC,APAC,Sales,Link instability,7,18,0,49,1.01,8,8,6.84,6.84,0,8,0,2025-12,Network issue affecting VPN in APAC; priority P2; root cause: Link instability; team NOC
INC000093,2025-11-05 21:49:24,2025-11-06 20:00:18.929459347,Closed,P3,Network,VPN,NetOps,North America,Operations,Firewall rule error,4,23,0,24,2.45,2,24,22.18,22.18,0,21,0,2025-11,Network issue affecting VPN in North America; priority P3; root cause: Firewall rule error; team NetOps
INC000094,2025-06-20 00:16:23,,Open,P4,Database,MySQL,Platform Engineering,North America,HR,Connection pool exhaustion,3,30,0,12,8.45,1,72,6431.73,,1,0,0,2025-06,Database issue affecting MySQL in North America; priority P4; root cause: Connection pool exhaustion; team Platform Engineering
INC000095,2025-11-13 20:42:37,2025-11-14 15:05:52.908006698,Closed,P3,Application,Billing,Middleware Ops,APAC,Operations,Release defect,1,29,0,56,2.05,4,24,18.39,18.39,0,20,0,2025-11,Application issue affecting Billing in APAC; priority P3; root cause: Release defect; team Middleware Ops
